"","device_id","id_type","latitude","longitude","horizontal_accuracy","timestamp","ip_address","device_os","os_version","user_agent","country","source_id","publisher_id","app_id","location_context","geohash"
"1477","5C43417D-B9F1-484C-AB02-6171CBA8C59D","idfa",26.1147,-80.3672,52,1.6e+12,"104.186.77.107","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dhwue4n3hkyp"
"7134","3a48e50a-f529-4cad-b7db-5f8778f7d384","aaid",40.292572,-79.58413,21.12,1.6e+12,"174.251.208.31","Android","10","Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U Build/QP1A.190711.020)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"dppmjp095ru4"
"6993","0a511d0f-2fc3-4010-b6ae-1293ec550297","aaid",39.380882,-84.57427,7.7,1.6e+12,"174.97.94.60","Android","7.1","Dalvik/2.1.0 (Linux; U; Android 7.1.2; LG-SP200 Build/N2G47H)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"dp5b53nfk8ec"
"1385","58F56073-BF51-4228-A5EC-EAF3598EA52B","idfa",42.3996,-71.1246,34,1.6e+12,"216.49.154.178","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"drt3jw8esd7z"
"8984","d1601678-d39d-4b8c-af57-9e957feab8d0","aaid",34.064938,-117.66906,5.36,1.6e+12,"47.148.142.84","Android","8","Dalvik/2.1.0 (Linux; U; Android 8.0.0; LG-LS998 Build/OPR1.170623.026)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"9qh3f3k48hte"
"15147","55351d6a-9f30-4fa0-8504-4f02d9f8fce8","aaid",39.305748,-94.921104,6,1.6e+12,"104.227.193.136","Android","","","US",30,"490a221883714c3a500bd544876f8b2ac4062887b165ffa7f0c3f76a507194ea","",1,"9yux852s9fqx"
"4000","50E15046-00D3-41BC-B23B-F65CB381E799","idfa",38.5677,-109.5271,26,1.6e+12,"98.37.24.75","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"9wf57thc1s70"
"7695","B52FDEAE-92B5-4A2B-B187-76820330136C","idfa",38.130974,-120.87339,21.2,1.6e+12,"73.151.117.50","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"9qf0cmw9jbew"
"6263","1fa01373-02e7-4a84-87e7-26e3f30789ab","aaid",31.582808,-97.18759,14.5,1.6e+12,"99.203.90.149","Android","10","Dalvik/2.1.0 (Linux; U; Android 10; SM-N975U Build/QP1A.190711.020)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"9vdgsmqphyp3"
"10344","967852EE-CD9B-4CF9-8F4F-91A1218E9290","idfa",26.676022,-81.95275,65,1.6e+12,"73.23.159.51","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"dhtxz05z46ze"
